CPU_Requested,CPU_Got,Get Subscriber,Update Subscriber,Update Location (All Partitions First),Insert Call Forwarding (All Partitions First),Delete Call Forwarding (All Partitions First),Update Location (All Partitions Tasked),Insert Call Forwarding (All Partitions Tasked),Delete Call Forwarding (All Partitions Tasked),Update Location (Multi Query First),Insert Call Forwarding (Multi Query First),Delete Call Forwarding (Multi Query First),
2000,9493,0,0,0,0,0,0,0,0,0,0,0,
4000,9500,0,0,1,1,1,1,1,1,1,1,1,
6000,9488,0,0,0,0,0,0,0,0,0,0,0,
8000,9484,0,0,1,1,1,1,1,1,1,1,1,
10000,18680,0,0,0,1,0,0,1,0,0,1,0,
12000,18651,0,0,1,1,1,1,1,1,1,1,1,
14000,18673,0,0,1,1,1,1,1,1, , , ,
16000,18633,0,0,1,1,1,1,1,1, , , ,
18000,18653,0,0,0,1,0,0,1,0, , , ,
20000,27521,0,0,1,1,1,1,1,1, , , ,
22000,27495,0,0,1,1,1,1,1,1,, , ,
24000,27518,0,0,1,1,1,1,1,1, , , ,
26000,27465,0,0,1,1,1,1,1,1, , , ,
28000,27430,0,0,2,3,2,2,3,2, , , ,
30000,35998,0,0,1,1,1,1,1,1, , , ,
32000,35958,0,0,1,1,1,1,1,1, , , ,
34000,36023,0,0,1,1,1,1,1,1, , , ,
36000,35921,0,0,1,1,1,1,1,1, , , ,
38000,35896,0,0,1,2,1,1,2,1, , , ,
40000,44066,0,0,1,1,1,1,1,1, , , ,
42000,44186,0,0,1,1,1,1,1,1, , , ,
44000,44050,0,0,1,2,1,1,2,1, , , ,
46000,44066,0,0,1,2,1,1,2,1, , , ,
48000,44048,0,0,1,1,1,1,1,1, , , ,
50000,52071,0,0,1,1,1,1,1,1, , , ,
52000,51541,0,0,6,7,6,6,7,6, , , ,
54000,51977,0,0,1,1,1,1,1,1, , , ,
56000,51790,0,0,1,1,1,1,1,1, , , ,
58000,51661,0,0,4,5,4,4,5,4, , , ,
60000,59232,0,0,2,3,2,2,3,2, , , ,
62000,59522,0,0,1,1,1,1,1,1, , , ,
64000,58779,0,0,8,9,8,8,9,8, , , ,
66000,59509,0,0,1,1,1,1,1,1, , , ,
68000,59214,0,0,3,3,3,3,3,3, , , ,
70000,65878,0,0,8,8,8,8,8,8, , , ,
72000,66270,0,0,4,5,4,4,5,4, , , ,
74000,65904,0,0,8,8,8,8,8,8, , , ,
76000,66319,0,0,5,5,5,5,5,5, , , ,
78000,66635,0,0,1,1,1,1,1,1, , , ,
80000,71875,0,0,12,13,12,12,13,12, , , ,
82000,73220,0,0,1,1,1,1,1,1, , , ,
84000,72334,0,0,10,11,10,10,11,10, , , ,
86000,73282,0,0,1,1,1,1,1,1, , , ,
88000,72375,0,0,10,10,10, , , , , , ,
90000,79632,0,0,1,2,1, , , , , , ,
92000,78279,0,0,13,13,13, , , , , , ,
94000,79506,0,0,2,2,2, , , , , , ,
96000,78397,0,0,12,13,12, , , , , , ,
98000,79483,0,0,1,2,1, , , , , , ,
100000,83852,0,0,15,15,15, , , , , , ,
102000,85301,0,0,2,2,2, , , , , , ,
104000,84089,0,0,15,15,15, , , , , , ,
106000,85160,0,0,5,6,5, , , , , , ,
108000,84819,0,0,9,10,9, , , , , , ,
110000,89701,0,0,15,16,15, , , , , , ,
112000,89861,0,0,14,15,14, , , , , , ,
114000,89891,0,0,15,16,15, , , , , , ,
116000,88806,0,1,19,20,19, , , , , , ,
118000,90554,0,0,2,2,2, , , , , , ,
120000,92909,0,1,22,22,22, , , , , , ,
122000,94886,0,1,17,18,17, , , , , , , 
124000,94457,0,1,17,18,18, , , , , , ,